UID,NAME_0,NAME_1,NAME_2,lon,lat
7922,United States,South Dakota,Clark,-97.72928486423375,44.85871568483104
7923,United States,South Dakota,Codington,-97.18976976844925,44.97882471913128
7924,United States,Minnesota,Chippewa,-95.56647475529502,45.02304789810984
7939,United States,Minnesota,Ramsey,-93.09952378991007,45.01959238340432
7941,United States,Wisconsin,Marathon,-89.75906649751515,44.89794800399291
7943,United States,Wisconsin,Menominee,-88.70958235068817,45.00426447050561
7978,United States,Wisconsin,Marinette,-88.0345775464185,45.38264124638918
7982,United States,Wisconsin,Clark,-90.61215159106415,44.734161488102934
7985,United States,Wisconsin,Shawano,-88.76535589389768,44.78898141794126
7989,United States,Vermont,Franklin,-72.91234582132836,44.857137826325996
7990,United States,Vermont,Essex,-71.73717903431277,44.72619946311622
7991,United States,New York,Lake Ontario,-77.40107452372663,43.57697032949544
7992,United States,Vermont,Grand Isle,-73.29591809936515,44.79615324397383
7993,United States,New York,Clinton,-73.68066507665893,44.74567065794089
7994,United States,Vermont,Orleans,-72.24394255150249,44.82848916031188
7996,United States,New York,Saint Lawrence,-75.06412273225891,44.48897076050866
7997,United States,New York,Franklin,-74.30485412951413,44.590375594470615
8000,United States,Michigan,Grand Traverse,-85.56091962831454,44.66885366895504
8003,United States,Minnesota,McLeod,-94.2709587369825,44.82423910753262
8004,United States,Minnesota,Carver,-93.80276753305647,44.82154429877274
8005,United States,South Dakota,Deuel,-96.66962806679702,44.760692889497086
8015,United States,Minnesota,Yellow Medicine,-95.86803016459217,44.716722553828916
8017,United States,Minnesota,Dakota,-93.06753528587318,44.6723360232059
8027,United States,Michigan,Alpena,-83.62763711020573,45.034678458756574
8028,United States,Minnesota,Renville,-94.94400769328537,44.726950217165886
8029,United States,Wisconsin,Door,-87.32095100427823,44.9438981238703
8031,United States,Maine,Washington,-67.63577313647602,45.034958564068575
8034,United States,Wisconsin,Pierce,-92.4217644487292,44.719350333334845
8036,United States,Michigan,Alcona,-83.5942417506267,44.6848416872443
8037,United States,Michigan,Kalkaska,-85.091162096173,44.6833500330624
8038,United States,Michigan,Crawford,-84.61154272124429,44.68357024180514
8039,United States,Wisconsin,Eau Claire,-91.28606229307726,44.726665641395726
8041,United States,Michigan,Oscoda,-84.13102149657574,44.68056501010007
8045,United States,Minnesota,Scott,-93.5361867424298,44.65037863561848
8049,United States,South Dakota,Hamlin,-97.1893596659129,44.67412247165251
8050,United States,Vermont,Lamoille,-72.64178432746232,44.60577010710486
8054,United States,Michigan,Benzie,-86.01596025544912,44.63797253126038
8057,United States,Vermont,Caledonia,-72.10267059247057,44.464350495575104
8062,United States,Vermont,Chittenden,-73.08161868001015,44.4605241478489
8065,United States,Maine,Kennebec,-69.76792920211071,44.40879370932607
8066,United States,Minnesota,Sibley,-94.23134812378268,44.580795758781406
8067,United States,Minnesota,Goodhue,-92.72325485361235,44.41130593712172
8071,United States,Minnesota,Redwood,-95.25248485306746,44.40412660868757
8074,United States,Wisconsin,Portage,-89.50135740938255,44.47570641407293
8075,United States,Wisconsin,Wood,-90.0414355026679,44.45517025363928
8077,United States,Wisconsin,Brown,-88.00412100826536,44.452149918020496
8078,United States,Wisconsin,Pepin,-92.00020124119108,44.58347393234362
8079,United States,Wisconsin,Waupaca,-88.96481635084372,44.47016739668211
8080,United States,Wisconsin,Kewaunee,-87.61647176216627,44.516339632315265
8087,United States,South Dakota,Beadle,-98.27733574392953,44.4146694980119
8089,United States,Minnesota,Lincoln,-96.26674020655733,44.413534728961366
8090,United States,Minnesota,Lyon,-95.83716854786006,44.41407566728367
8094,United States,Wisconsin,Buffalo,-91.75541342217649,44.380341843765684
8095,United States,Wisconsin,Trempealeau,-91.35908149698258,44.303608147640446
8096,United States,Wisconsin,Jackson,-90.80475368404295,44.318879838816365
8097,United States,Wisconsin,Outagamie,-88.46545300839765,44.41578656536758
8104,United States,New York,Essex,-73.77500607361681,44.11673442023998
8105,United States,Minnesota,Le Sueur,-93.73008029177063,44.37336859960756
8106,United States,Minnesota,Rice,-93.29733763900742,44.3560517971863
8107,United States,South Dakota,Kingsbury,-97.49020319028801,44.37018987864527
8108,United States,South Dakota,Brookings,-96.791470735688,44.37065760000499
8112,United States,Michigan,Manistee,-86.05628014525396,44.33194023664419
8116,United States,Michigan,Wexford,-85.5788299336123,44.337937513769006
8117,United States,Michigan,Roscommon,-84.61355394042673,44.33453864313796
8118,United States,Michigan,Missaukee,-85.09546121337502,44.33711117144546
8119,United States,Michigan,Iosco,-83.63698995011042,44.355513675900376
8120,United States,Michigan,Ogemaw,-84.12784956925753,44.334054867105564
8121,United States,Vermont,Washington,-72.61557122389817,44.2732202723265
8124,United States,Minnesota,Brown,-94.7263174369612,44.24199961944356
8128,United States,Maine,Androscoggin,-70.20678059615024,44.16534674286389
8131,United States,Minnesota,Nicollet,-94.24689986636255,44.35063718404999
8133,United States,Minnesota,Wabasha,-92.2310447134929,44.28559763409246
8141,United States,New Hampshire,Grafton,-71.82107056963511,43.93970142175566
8151,United States,Maine,Knox,-69.17292995621237,44.14695780159566
8153,United States,Maine,Waldo,-69.14937401384752,44.502587082975076
8155,United States,Maine,Lincoln,-69.5420519611659,44.07352345961455
8157,United States,Maine,Hancock,-68.35821164331087,44.66989426088143
8158,United States,Wisconsin,Manitowoc,-87.81005761194012,44.11948502063642
8162,United States,Vermont,Addison,-73.1418085089869,44.02987885041776
8166,United States,New Hampshire,Carroll,-71.20299232586447,43.87284614287967
8169,United States,Minnesota,Blue Earth,-94.06705613105923,44.03562847880453
8172,United States,Wisconsin,Juneau,-90.11336071913058,43.92440218039022
8173,United States,Wisconsin,Adams,-89.76979093316271,43.96853020415721
8174,United States,Wisconsin,Waushara,-89.24317257621205,44.11303107224687
8175,United States,Wisconsin,Winnebago,-88.64459081719222,44.06887914319399
8176,United States,Wisconsin,Calumet,-88.21791549425483,44.081580288282886
8181,United States,Vermont,Orange,-72.37720364756623,44.00500818646189
8182,United States,New York,Lewis,-75.45017674948616,43.78470861230723
